,,R,HR,RBI,SB,OBP,SLG,,IP,K,W,ERA,WHIP,SVHD
,HW,31,12,41,3,0.3452,0.4515,,75.2,82,5,2.26,1.044,7
,STY,30,9,21,7,0.274,0.3333,,62.1,70,5,3.898,1.027,7
,MBU,33,7,32,7,0.3472,0.4128,,60.2,58,1,4.747,1.582,6
Week 1,FFF,23,7,31,6,0.3106,0.3826,,68,67,4,1.456,0.912,7
,TR,38,12,33,8,0.3123,0.43,,69.1,60,4,4.024,1.154,10
,BWT,35,10,31,6,0.2981,0.3607,,62.2,69,2,4.165,1.372,8
,TWD,40,12,39,4,0.3382,0.4557,,63,60,2,4.714,1.317,1
,MML,31,10,29,6,0.3388,0.4471,,64.2,71,4,4.593,1.082,3
,TSI,31,8,27,2,0.3285,0.3868,,67,66,1,3.761,1.104,6
,AITT,44,17,42,4,0.3621,0.5687,,58.2,63,4,3.375,1.108,4
,,,,,,,,,,,,,,
,HW,32,6,28,1,0.3509,0.4063,,61.2,53,3,2.481,1.005,7
,STY,51,9,39,1,0.3655,0.5236,,54,62,2,4.667,1.185,
,MBU,29,11,32,6,0.3137,0.4204,,50,45,3,5.58,1.54,4
Week 2,FFF,28,7,27,9,0.3259,0.3833,,67.1,72,5,2.406,1.025,12
,TR,42,10,26,8,0.3119,0.3969,,62.2,66,3,2.298,1.261,8
,BWT,34,10,34,9,0.3434,0.4494,,57.2,46,4,4.838,1.457,7
,TWD,26,9,35,0,0.2765,0.3602,,70,71,8,2.186,1.086,5
,MML,39,11,34,3,0.3716,0.4826,,52.1,54,2,2.924,1.204,5
,TSI,30,7,31,5,0.3333,0.3887,,66.2,86,4,3.105,0.96,11
,AITT,34,11,42,4,0.3657,0.4936,,59.1,54,3,2.73,1.045,6
,,,,,,,,,,,,,,
,HW,38,14,42,4,0.3464,0.498,,68.2,64,3,4.194,1.136,8
,STY,33,11,35,6,0.3368,0.4556,,64,57,4,3.797,1.266,8
,MBU,31,6,21,5,0.3223,0.3862,,54,53,2,5.667,1.5,5
Week 3,FFF,35,9,35,3,0.3742,0.4432,,60,60,5,3.75,1.15,8
,TR,45,16,43,9,0.3754,0.5698,,64.1,49,3,2.378,1.104,8
,BWT,37,12,33,6,0.3402,0.4423,,63,53,3,4.143,1.302,6
,TWD,21,4,28,4,0.2831,0.2881,,63,69,3,2.857,0.873,3
,MML,37,12,39,6,0.3299,0.4382,,63,75,6,2.143,1.302,7
,TSI,30,9,37,3,0.3441,0.4291,,64.1,66,3,2.658,1.026,3
,AITT,39,12,38,4,0.348,0.4794,,59,68,4,4.271,1.441,7
,,,,,,,,,,,,,,
,HW,36,14,44,4,0.3502,0.5202,,59,49,1,4.881,1.288,4
,STY,49,14,45,6,0.3356,0.4848,,62.1,74,6,3.754,1.364,8
,MBU,21,5,19,1,0.2996,0.4038,,56.2,42,6,5.241,1.412,10
Week 4,FFF,35,9,37,4,0.2939,0.3785,,53.2,54,4,3.689,1.36,5
,TR,43,12,41,16,0.3916,0.502,,56.2,50,1,3.018,1.147,6
,BWT,45,13,47,1,0.3247,0.464,,60.2,58,2,3.115,1.335,3
,TWD,29,5,32,4,0.3185,0.3779,,68.1,74,6,2.634,0.951,5
,MML,38,19,52,1,0.4228,0.6356,,58,50,3,5.276,1.431,8
,TSI,35,8,33,2,0.3596,0.4353,,63.2,62,6,4.099,1.257,4
,AITT,43,10,38,9,0.3265,0.4232,,52,65,2,4.327,1.577,3
,,,,,,,,,,,,,,
,HW,44,12,43,3,0.3833,0.4883,,61.2,65,4,2.919,1.07,6
,STY,37,11,40,5,0.3441,0.473,,52.2,60,3,4.101,1.291,8
,MBU,29,5,32,5,0.3659,0.4,,48.1,43,2,6.89,1.862,3
Week 5,FFF,38,6,27,5,0.3289,0.3895,,63,69,5,4,1.159,7
,TR,34,11,36,4,0.3435,0.4531,,60.2,54,1,4.747,1.269,5
,BWT,47,12,43,14,0.3994,0.5438,,54.1,54,4,3.479,1.325,4
,TWD,34,14,33,0,0.3721,0.4922,,58.1,58,3,4.32,1.303,2
,MML,43,13,39,4,0.33,0.4297,,66.1,55,4,2.442,1.176,10
,TSI,40,17,44,3,0.3206,0.5087,,58.2,61,4,3.528,1.295,3
,AITT,34,10,41,3,0.3597,0.4694,,59.2,61,5,3.469,1.257,6
,,,,,,,,,,,,,,
,HW,48,13,47,3,0.3716,0.5175,,69.1,77,3,2.986,1.255,7
,STY,32,13,28,3,0.3265,0.4436,,60.2,55,5,3.857,1.038,5
,MBU,32,7,14,7,0.3445,0.4404,,52.1,48,4,3.955,1.357,6
