R,HR,RBI,SB,OBP,SLG,IP,K,W,ERA,WHIP,SVHD
42,9,34,7,0.3146,0.406,78,82,4,2.538,1.077,8
36,5,23,3,0.2708,0.3162,62.7,59,3,4.309,1.452,4
32,11,43,6,0.2935,0.4613,69.7,69,9,2.584,0.962,6
24,14,43,4,0.3285,0.5176,61.7,43,3,3.065,1.232,5
39,11,39,0,0.3022,0.4601,35,33,2,1.029,0.743,3
32,6,30,2,0.2672,0.3657,34.3,26,1,4.456,1.194,7
29,6,28,14,0.3604,0.3719,70,71,5,4.243,1.129,6
33,5,25,1,0.2891,0.433,35.3,35,4,4.33,1.104,4
30,6,27,6,0.3321,0.3693,75.3,73,2,2.27,1.181,9
23,9,35,4,0.3484,0.4263,62,61,3,2.903,1.065,5
23,3,26,2,0.3498,0.4,26.7,34,2,2.025,0.938,5
31,10,44,6,0.3178,0.4583,66.3,60,1,3.663,1.131,6
36,6,29,5,0.3538,0.4298,63.7,57,5,2.545,0.864,7
33,13,40,1,0.3668,0.5322,39.3,32,3,3.203,1.271,5
32,5,26,4,0.336,0.3877,47,46,4,2.872,1.17,2
23,8,26,1,0.3277,0.4067,55.7,43,3,3.557,1.293,6
41,12,38,7,0.3396,0.4576,56.3,62,5,5.272,1.314,7
39,13,41,3,0.3309,0.496,67.3,59,6,3.074,1.084,7
22,5,25,2,0.2944,0.3814,39,51,4,1.385,0.897,10
42,11,40,5,0.337,0.4689,58,64,4,3.414,1.121,4
30,8,23,3,0.3057,0.3894,59.7,50,3,3.469,1.19,5
32,10,38,2,0.3605,0.4851,29.7,33,4,1.517,0.843,7
33,8,39,5,0.3308,0.465,51.3,44,4,6.619,1.606,6
39,6,34,2,0.3566,0.3893,61.7,65,6,3.065,1.232,6
30,8,28,6,0.3574,0.3957,62.7,59,3,3.59,1.149,5
41,10,36,13,0.3763,0.5,67,61,4,2.418,1.179,7
29,1,25,2,0.3232,0.3778,34.7,34,2,3.375,1.385,6
33,6,24,5,0.3023,0.3932,55.3,50,3,3.253,1.301,2
25,6,23,7,0.3211,0.4322,40.7,43,2,1.549,0.959,7
32,9,24,6,0.3494,0.4017,56,53,2,1.929,0.839,8
42,8,40,9,0.3933,0.4625,62.1,69,3,3.898,1.251,5
40,6,37,3,0.332,0.417,60.2,54,3,4.896,1.5,6
31,5,23,8,0.3571,0.4176,57.2,66,4,5.462,1.37,8
22,3,29,4,0.3136,0.4087,42,27,1,4.5,1.214,5
43,12,42,5,0.3405,0.502,62.1,65,3,4.62,1.267,5
18,2,22,3,0.2532,0.2627,30,24,2,3.6,1.067,9
33,10,31,3,0.3855,0.5354,27.2,32,3,0.976,1.048,1
33,8,22,0,0.3282,0.4025,55,43,4,3.109,1.018,6
48,15,47,6,0.3874,0.5543,53.2,43,2,5.199,1.472,1
48,14,38,9,0.3618,0.4805,59.2,59,2,3.62,1.106,7
37,11,35,5,0.3571,0.4951,61.1,62,3,3.082,0.962,8
27,8,25,5,0.3551,0.4815,51,50,5,3.529,1.471,7
21,4,25,2,0.3552,0.4329,42.1,44,4,2.339,1.039,10
22,6,21,2,0.2757,0.3769,32.1,34,3,4.454,1.268,3
46,10,33,9,0.3895,0.5352,65.2,60,4,4.523,1.279,7
41,16,36,4,0.3066,0.4879,64.1,59,4,3.637,1.321,6
21,4,26,1,0.2939,0.3644,21,22,1,2.143,1.333,7
41,9,40,3,0.3979,0.4859,68,83,5,3.044,1,5
37,10,38,10,0.3436,0.4633,57,42,2,6.158,1.702,8
38,7,26,6,0.3333,0.4076,59.1,46,4,3.337,1.348,5
21,7,30,2,0.2876,0.4087,62.1,74,4,4.909,1.251,5
42,12,49,3,0.3505,0.4553,66.1,55,3,3.121,1.085,9
26,9,37,5,0.3706,0.4704,68.1,79,3,1.976,0.849,10
32,10,35,4,0.3233,0.4412,67.1,69,4,2.54,1.218,5
24,9,25,2,0.3309,0.4206,62.1,68,3,4.043,1.267,6
40,16,35,6,0.3438,0.494,61.1,63,4,3.522,1.304,2
22,6,27,5,0.3018,0.3951,40.2,39,3,3.098,0.959,9
37,12,42,4,0.4,0.5378,61.2,63,6,2.919,1.086,5
40,7,32,2,0.3443,0.4139,32,26,2,7.594,1.781,4
29,8,23,4,0.3874,0.5434,35,32,1,4.114,1.343,10
40,7,35,3,0.3456,0.3929,72,58,5,2,0.875,4
17,3,18,6,0.3333,0.3925,66.2,66,3,2.16,0.885,4
33,8,31,8,0.3011,0.39,58.2,52,2,4.449,1.313,5
29,6,30,7,0.2912,0.3739,59.1,64,5,1.82,0.961,8
35,9,41,4,0.2972,0.41,61.1,58,2,4.255,1.353,12
25,6,32,4,0.3346,0.3957,34.1,39,2,4.981,1.34,10
31,10,38,3,0.3345,0.436,66.2,73,4,2.97,0.96,4
32,6,31,5,0.3582,0.4291,29.1,25,2,2.761,1.432,5
25,9,27,2,0.3271,0.4368,39.1,55,3,4.576,1.347,9
37,11,34,3,0.3143,0.4697,56.2,46,1,4.129,1.218,5
21,6,22,4,0.2891,0.3629,45,45,2,5.4,1.556,5
36,13,35,9,0.3758,0.4869,59,74,4,3.966,1.22,9
29,7,33,5,0.3008,0.3889,40.2,42,2,2.656,0.959,6
39,8,27,11,0.4022,0.4917,67.1,75,3,2.54,1.158,6
32,8,30,3,0.3244,0.4444,37.2,32,3,3.823,1.009,3
32,14,31,4,0.3185,0.4839,59,59,3,2.441,1.102,8
39,10,30,4,0.3245,0.4265,56.1,49,5,1.598,1.047,7
35,18,42,1,0.3768,0.582,52.1,54,3,2.58,1.338,6
32,17,31,1,0.3745,0.5845,70,75,3,2.829,1.1,9
23,7,25,3,0.315,0.412,54,45,2,2.5,0.926,8
18,3,14,8,0.2648,0.2808,54.1,48,1,6.791,1.472,6
29,11,27,7,0.3058,0.4358,47,51,2,4.213,1.149,4
35,13,39,5,0.2897,0.4387,66.1,67,5,3.663,1.176,4
23,4,31,2,0.3571,0.4839,37.2,30,3,3.823,1.088,8
31,8,35,2,0.3577,0.4328,42.2,48,2,4.008,1.359,10
47,7,40,13,0.3654,0.438,58.2,62,5,1.841,1.074,8
23,2,26,4,0.3304,0.3367,59,56,5,3.966,1.322,4
44,11,27,1,0.3897,0.5164,55,51,4,1.636,1.182,13
32,14,42,4,0.3369,0.4857,58.2,55,6,3.528,1.21,6
