,,R,HR,RBI,SB,OBP,SLG,,IP,K,W,ERA,WHIP,SVHD
,HW,28,15,37,2,0.2918,0.4199,,63.1,65,6,3.695,1.247,7
,STY,25,6,18,1,0.3093,0.3465,,56.1,56,4,2.716,1.118,8
,MBU,32,8,31,2,0.2832,0.3977,,49,53,4,4.224,1.102,7
Week 1,FFF,44,7,37,2,0.4015,0.5021,,57.2,58,4,3.434,1.162,8
,TR,38,9,30,6,0.3506,0.4017,,63.2,58,2,3.817,1.429,4
,CDKH,40,9,38,3,0.3491,0.4008,,36.1,39,2,6.44,1.624,3
,SOG,41,11,49,5,0.3737,0.5184,,66.2,63,6,4.05,1.26,9
,MML,33,13,29,3,0.3235,0.4578,,64,64,6,3.938,1.25,6
,TSI,41,12,32,2,0.4098,0.5541,,65.1,54,4,3.719,1.286,3
,AITT,25,6,24,3,0.3228,0.3694,,60.2,71,5,3.412,1.253,8
,,,,,,,,,,,,,,
,HW,34,6,27,4,0.304,0.3765,,60.2,56,3,3.56,1.187,7
,STY,34,11,32,3,0.3629,0.519,,59.1,56,3,4.247,1.213,9
,MBU,31,7,31,9,0.3056,0.384,,46.1,47,3,3.496,1.403,5
Week 2,FFF,35,11,32,1,0.3026,0.4251,,63,67,3,2.571,0.905,9
,TR,37,14,44,4,0.3333,0.496,,64.1,45,4,3.218,1.135,8
,CDKH,28,5,30,1,0.2782,0.321,,54.1,43,3,3.147,1.38,3
,SOG,28,12,31,4,0.2989,0.3992,,68.1,72,5,1.712,0.79,7
,MML,35,8,30,6,0.3309,0.4545,,59.2,55,3,4.073,1.324,3
,TSI,39,12,41,4,0.3231,0.4109,,64.2,63,4,4.175,1.299,7
,AITT,41,14,45,8,0.3505,0.5267,,68.2,70,5,2.359,0.917,13
,,,,,,,,,,,,,,
,HW,38,11,35,3,0.299,0.3936,,64.2,55,3,3.479,1.144,4
,STY,34,5,21,1,0.3387,0.3785,,62,58,5,3.774,1.403,6
,MBU,39,7,37,5,0.3806,0.4622,,57.2,55,4,3.746,1.353,6
Week 3,FFF,35,7,41,5,0.364,0.4556,,62.1,62,4,1.733,0.898,10
,TR,31,11,41,4,0.3058,0.4176,,64,54,2,4.359,1.234,5
,CDKH,35,13,36,8,0.3522,0.4833,,56,50,4,4.821,1.304,6
,SOG,48,17,50,3,0.3975,0.5455,,61,47,3,3.098,1.115,8
,MML,48,13,40,5,0.3615,0.5502,,54.2,63,6,2.47,1.024,1
,TSI,25,6,31,4,0.3066,0.3837,,58.1,60,5,2.777,1.149,8
,AITT,41,15,39,3,0.3758,0.5543,,59.1,68,2,5.006,1.281,10
,,,,,,,,,,,,,,
,HW,38,14,36,3,0.3478,0.5263,,56.2,66,7,2.7,1.376,4
,STY,35,6,29,3,0.3358,0.3863,,62.2,69,3,3.59,1.133,11
,MBU,31,10,29,0,0.3282,0.4498,,58,58,4,3.414,1.259,3
Week 4,FFF,33,8,24,3,0.3167,0.3952,,57.1,55,3,2.355,1.151,3
,TR,35,9,39,4,0.3212,0.4413,,61.2,58,3,3.795,0.989,6
,CDKH,32,11,38,2,0.3665,0.5161,,57.1,51,2,4.081,1.36,5
,SOG,31,7,34,6,0.368,0.4333,,64.1,64,5,2.518,1.041,5
,MML,31,6,25,5,0.3239,0.3837,,60.2,49,3,4.451,1.203,3
,TSI,27,11,49,3,0.3488,0.4435,,60,49,4,3,1.333,9
,AITT,29,4,24,8,0.3449,0.3661,,65.1,65,6,2.893,1.102,7
,,,,,,,,,,,,,,
,HW,31,9,28,2,0.3367,0.4286,,68.2,61,6,3.932,1.165,9
,STY,43,11,35,5,0.375,0.4981,,60.2,60,3,3.115,1.071,9
,MBU,29,11,31,6,0.332,0.4356,,47.2,40,3,3.965,1.364,3
Week 5,FFF,26,6,23,5,0.2943,0.3402,,64.1,52,1,4.057,1.259,7
,TR,41,8,35,6,0.3258,0.427,,65,62,4,3.323,1.169,7
,CDKH,43,17,61,2,0.347,0.569,,68.1,60,4,2.502,1.112,10
,SOG,48,10,34,5,0.3993,0.498,,58.1,59,5,2.931,1.183,6
,MML,40,7,28,5,0.339,0.4375,,61,69,6,2.803,1.148,3
,TSI,38,15,37,3,0.3599,0.5654,,59.1,67,6,4.096,1.466,9
,AITT,39,9,43,4,0.4228,0.5191,,50.1,44,3,4.47,1.291,5
,,,,,,,,,,,,,,
,HW,37,10,44,5,0.3539,0.4823,,71.2,68,3,2.763,1.06,8
,STY,35,11,35,2,0.3403,0.4903,,67.1,68,3,3.609,1.188,9
,MBU,5,8,33,3,0.3682,0.4713,,66.2,52,5,3.105,1.125,2
Week 6,FFF,53,16,40,4,0.396,0.5911,,56,63,3,5.464,1.411,8
,TR,47,10,57,6,0.3801,0.4895,,58.2,41,4,5.983,1.551,8
,CDKH,34,7,27,4,0.3228,0.391,,61.1,55,2,3.522,1.37,9
