Team,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13
DJ Purple,Eat 4 Dicks Asendorf,Aah Fuckin’ Shitdick,Pubic Faith,Peter’s Team,Jbone!,Zach Attack,THROW IT TO SANDERS,Lambeau Leapers,Frank The Tank,Chubby Winners,Rudy Was Offsides,Eat 4 Dicks Asendorf,Peter’s Team
Eat 4 Dicks Asendorf,DJ Purple,Rudy Was Offsides,Aah Fuckin’ Shitdick,Pubic Faith,Peter’s Team,Jbone!,Zach Attack,THROW IT TO SANDERS,Lambeau Leapers,Frank The Tank,Chubby Winners,DJ Purple,Zach Attack
Aah Fuckin’ Shitdick,Chubby Winners,DJ Purple,Eat 4 Dicks Asendorf,Rudy Was Offsides,Pubic Faith,Peter’s Team,Jbone!,Zach Attack,THROW IT TO SANDERS,Lambeau Leapers,Frank The Tank,Peter’s Team,Lambeau Leapers
Pubic Faith,Frank The Tank,Chubby Winners,DJ Purple,Eat 4 Dicks Asendorf,Aah Fuckin’ Shitdick,Rudy Was Offsides,Peter’s Team,Jbone!,Zach Attack,THROW IT TO SANDERS,Lambeau Leapers,Chubby Winners,Rudy Was Offsides
Peter’s Team,Lambeau Leapers,Frank The Tank,Chubby Winners,DJ Purple,Eat 4 Dicks Asendorf,Aah Fuckin’ Shitdick,Pubic Faith,Rudy Was Offsides,Jbone!,Zach Attack,THROW IT TO SANDERS,Aah Fuckin’ Shitdick,DJ Purple
Jbone!,THROW IT TO SANDERS,Lambeau Leapers,Frank The Tank,Chubby Winners,DJ Purple,Eat 4 Dicks Asendorf,Aah Fuckin’ Shitdick,Pubic Faith,Peter’s Team,Rudy Was Offsides,Zach Attack,Zach Attack,Frank The Tank
Zach Attack,Rudy Was Offsides,THROW IT TO SANDERS,Lambeau Leapers,Frank The Tank,Chubby Winners,DJ Purple,Eat 4 Dicks Asendorf,Aah Fuckin’ Shitdick,Pubic Faith,Peter’s Team,Jbone!,Jbone!,Eat 4 Dicks Asendorf
THROW IT TO SANDERS,Jbone!,Zach Attack,Rudy Was Offsides,Lambeau Leapers,Frank The Tank,Chubby Winners,DJ Purple,Eat 4 Dicks Asendorf,Aah Fuckin’ Shitdick,Pubic Faith,Peter’s Team,Frank The Tank,Chubby Winners
Lambeau Leapers,Peter’s Team,Jbone!,Zach Attack,THROW IT TO SANDERS,Rudy Was Offsides,Frank The Tank,Chubby Winners,DJ Purple,Eat 4 Dicks Asendorf,Aah Fuckin’ Shitdick,Pubic Faith,Rudy Was Offsides,Aah Fuckin’ Shitdick
Frank The Tank,Pubic Faith,Peter’s Team,Jbone!,Zach Attack,THROW IT TO SANDERS,Lambeau Leapers,Rudy Was Offsides,Chubby Winners,DJ Purple,Eat 4 Dicks Asendorf,Aah Fuckin’ Shitdick,THROW IT TO SANDERS,Jbone!
Chubby Winners,Aah Fuckin’ Shitdick,Pubic Faith,Peter’s Team,Jbone!,Zach Attack,THROW IT TO SANDERS,Lambeau Leapers,Frank The Tank,Rudy Was Offsides,DJ Purple,Eat 4 Dicks Asendorf,Pubic Faith,THROW IT TO SANDERS
Rudy Was Offsides,Zach Attack,Eat 4 Dicks Asendorf,THROW IT TO SANDERS,Aah Fuckin’ Shitdick,Lambeau Leapers,Pubic Faith,Frank The Tank,Peter’s Team,Chubby Winners,Jbone!,DJ Purple,Lambeau Leapers,Pubic Faith
